STAF_CODIGO_EVENTO;STAF_TIPO_EVENTO;STAF_CODIGO_TCE;STAF_NATUREZA_EVENTO;DESCRICAO_ERRO;SOLUCAO_ERRO;IMPORTANTE
"79";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"81";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"83";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"84";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"85";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"87";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"93";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"94";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"98";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"101";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"103";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"108";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"109";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"110";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"111";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"112";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"117";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"118";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"123";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"126";"VENCIMENTO";NAO INFORMADO;"B";Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"127";"VENCIMENTO";NAO INFORMADO;"B";Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"128";"VENCIMENTO";NAO INFORMADO;"B";Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"129";"VENCIMENTO";NAO INFORMADO;"B";Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"140";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"143";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"144";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"145";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"146";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"147";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"152";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"162";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"163";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"164";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"165";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"166";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"167";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"176";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"177";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"178";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"179";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"180";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"182";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"183";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"195";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"199";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"201";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"206";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"207";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"208";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"209";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"211";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"218";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"219";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"220";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"221";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"222";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"223";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"224";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"233";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"234";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
