"codigoEvento";"tipoEvento";"codigoTCE";"naturezaEvento"
"1698";"VENCIMENTO";"N";"N"
"1699";"VENCIMENTO";"N";"N"
"1700";"VENCIMENTO";"N";"N"
"1701";"VENCIMENTO";"N";"N"
"1702";"VENCIMENTO";"N";"N"
"1703";"VENCIMENTO";"N";"N"
"1704";"VENCIMENTO";"N";"N"
"1705";"VENCIMENTO";"N";"N"
"1706";"VENCIMENTO";"N";"N"
"1707";"VENCIMENTO";"N";"N"
"1708";"VENCIMENTO";"N";"N"
"1709";"VENCIMENTO";"N";"N"
"1710";"VENCIMENTO";"N";"N"
"1711";"DESCONTO";"N";"N"
"1712";"VENCIMENTO";"99";"G"
"1713";"VENCIMENTO";"99";"G"
"1714";"VENCIMENTO";"99";"G"
"1715";"VENCIMENTO";"N";"N"
"1716";"VENCIMENTO";"N";"N"
"1717";"VENCIMENTO";"N";"N"
"1718";"VENCIMENTO";"N";"N"
"1719";"DESCONTO";"N";"N"
"1720";"VENCIMENTO";"N";"N"
"1721";"VENCIMENTO";"N";"N"
"1722";"VENCIMENTO";"99";"G"
"1723";"DESCONTO";"N";"N"
"1724";"VENCIMENTO";"N";"N"
"1725";"VENCIMENTO";"N";"N"
"1726";"DESCONTO";"509";"D"
"1727";"DESCONTO";"N";"N"
"1728";"DESCONTO";"N";"N"
"1729";"DESCONTO";"8";"D"
"1730";"DESCONTO";"N";"N"
"1731";"VENCIMENTO";"N";"N"
"1732";"DESCONTO";"N";"N"
"1733";"VENCIMENTO";"N";"N"
"1734";"VENCIMENTO";"N";"N"
"1735";"VENCIMENTO";"N";"N"
"1736";"VENCIMENTO";"N";"N"
"1737";"VENCIMENTO";"N";"N"
"1738";"VENCIMENTO";"N";"N"
"1739";"VENCIMENTO";"21";"G"
"1740";"VENCIMENTO";"N";"N"
"1741";"VENCIMENTO";"N";"N"
"1742";"VENCIMENTO";"N";"N"
"1743";"VENCIMENTO";"N";"N"
"1744";"VENCIMENTO";"N";"N"
"1745";"VENCIMENTO";"N";"N"
"1746";"VENCIMENTO";"N";"N"
"1747";"DESCONTO";"8";"D"
"1748";"DESCONTO";"N";"N"
"1749";"DESCONTO";"N";"N"
"1750";"DESCONTO";"N";"N"
"1751";"DESCONTO";"N";"N"
"1752";"VENCIMENTO";"N";"N"
"1753";"VENCIMENTO";"N";"N"
"1754";"VENCIMENTO";"N";"N"
"1755";"VENCIMENTO";"N";"N"
"1756";"VENCIMENTO";"N";"N"
"1757";"VENCIMENTO";"N";"N"
"1758";"VENCIMENTO";"N";"N"
"1759";"DESCONTO";"98";"D"
"1760";"DESCONTO";"98";"D"
"1761";"DESCONTO";"98";"D"
"1762";"DESCONTO";"98";"D"
"1763";"VENCIMENTO";"N";"N"
"1764";"VENCIMENTO";"99";"G"
"1765";"VENCIMENTO";"99";"G"
"1766";"VENCIMENTO";"99";"G"
"1767";"VENCIMENTO";"N";"N"
"1768";"DESCONTO";"N";"N"
"1769";"DESCONTO";"N";"N"
"1770";"VENCIMENTO";"N";"N"
"1771";"VENCIMENTO";"N";"N"
"1772";"VENCIMENTO";"99";"G"
"1773";"VENCIMENTO";"N";"N"
"1774";"VENCIMENTO";"N";"N"
"1775";"VENCIMENTO";"N";"N"
"1776";"VENCIMENTO";"N";"N"
"1777";"DESCONTO";"N";"N"
"1778";"DESCONTO";"N";"N"
"1779";"VENCIMENTO";"N";"N"
"1780";"VENCIMENTO";"N";"N"
"1781";"VENCIMENTO";"N";"N"
"1782";"VENCIMENTO";"N";"N"
"1783";"VENCIMENTO";"N";"N"
"1784";"DESCONTO";"8";"D"
"1785";"DESCONTO";"N";"N"
"1786";"VENCIMENTO";"99";"G"
"1787";"VENCIMENTO";"N";"N"
"1788";"DESCONTO";"N";"N"
"1789";"DESCONTO";"N";"N"
"1790";"VENCIMENTO";"60";"G"
"1791";"VENCIMENTO";"99";"G"
"1792";"VENCIMENTO";"99";"G"
"1793";"VENCIMENTO";"4";"B"
"1794";"DESCONTO";"8";"D"
"1795";"DESCONTO";"8";"D"
"1796";"VENCIMENTO";"99";"G"
"1797";"VENCIMENTO";"2";"B"
"1798";"VENCIMENTO";"N";"N"
"1799";"VENCIMENTO";"2";"B"
"1800";"VENCIMENTO";"N";"N"
"1801";"VENCIMENTO";"N";"N"
"1802";"VENCIMENTO";"N";"N"
"1803";"VENCIMENTO";"N";"N"
"1804";"VENCIMENTO";"N";"N"
"1805";"VENCIMENTO";"N";"N"
"1806";"VENCIMENTO";"N";"N"
"1807";"VENCIMENTO";"N";"N"
"1808";"VENCIMENTO";"N";"N"
"1809";"VENCIMENTO";"N";"N"
"1810";"VENCIMENTO";"N";"N"
"1811";"VENCIMENTO";"N";"N"
"1812";"VENCIMENTO";"23";"G"
"1813";"VENCIMENTO";"23";"G"
"1814";"VENCIMENTO";"N";"N"
"1815";"VENCIMENTO";"N";"N"
"1816";"VENCIMENTO";"N";"N"
"1817";"VENCIMENTO";"N";"N"
